Length	Start	data
1.0	1.0	106.0
2.0	1.0	104.0
3.0	1.0	102.0
4.0	1.0	100.0
5.0	1.0	98.0
6.0	1.0	96.0
7.0	1.0	94.0
8.0	1.0	92.0
9.0	1.0	90.0
10.0	1.0	88.0
11.0	1.0	86.0
12.0	1.0	84.0
13.0	1.0	82.0
14.0	1.0	80.0
15.0	1.0	78.0
16.0	1.0	76.0
17.0	1.0	74.0
18.0	1.0	72.0
19.0	1.0	70.0
20.0	1.0	68.0
21.0	1.0	66.0
22.0	1.0	64.0
23.0	1.0	62.0
24.0	1.0	60.0
25.0	1.0	58.0
26.0	1.0	56.0
27.0	1.0	54.0
28.0	1.0	52.0
29.0	1.0	50.0
30.0	1.0	48.0
31.0	1.0	46.0
32.0	1.0	44.0
33.0	1.0	42.0
34.0	1.0	40.0
35.0	1.0	38.0
36.0	1.0	36.0
37.0	1.0	34.0
38.0	1.0	32.0
39.0	1.0	30.0
40.0	1.0	28.0
41.0	1.0	26.0
42.0	1.0	24.0
43.0	1.0	22.0
44.0	1.0	20.0
45.0	1.0	18.0
46.0	1.0	16.0
47.0	1.0	14.0
48.0	1.0	12.0
49.0	1.0	10.0
50.0	1.0	8.0

1.0	2.0	114.0
2.0	2.0	112.0
3.0	2.0	110.0
4.0	2.0	108.0
5.0	2.0	106.0
6.0	2.0	104.0
7.0	2.0	102.0
8.0	2.0	100.0
9.0	2.0	98.0
10.0	2.0	96.0
11.0	2.0	94.0
12.0	2.0	92.0
13.0	2.0	90.0
14.0	2.0	88.0
15.0	2.0	86.0
16.0	2.0	84.0
17.0	2.0	82.0
18.0	2.0	80.0
19.0	2.0	78.0
20.0	2.0	76.0
21.0	2.0	74.0
22.0	2.0	72.0
23.0	2.0	70.0
24.0	2.0	68.0
25.0	2.0	66.0
26.0	2.0	64.0
27.0	2.0	62.0
28.0	2.0	60.0
29.0	2.0	58.0
30.0	2.0	56.0
31.0	2.0	54.0
32.0	2.0	52.0
33.0	2.0	50.0
34.0	2.0	48.0
35.0	2.0	46.0
36.0	2.0	34.0
37.0	2.0	42.0
38.0	2.0	40.0
39.0	2.0	38.0
40.0	2.0	36.0
41.0	2.0	34.0
42.0	2.0	32.0
43.0	2.0	30.0
44.0	2.0	28.0
45.0	2.0	26.0
46.0	2.0	24.0
47.0	2.0	22.0
48.0	2.0	20.0
49.0	2.0	18.0
50.0	2.0	0.0

1.0	3.0	122.0
2.0	3.0	120.0
3.0	3.0	118.0
4.0	3.0	116.0
5.0	3.0	114.0
6.0	3.0	112.0
7.0	3.0	110.0
8.0	3.0	108.0
9.0	3.0	106.0
10.0	3.0	104.0
11.0	3.0	102.0
12.0	3.0	16.0
13.0	3.0	98.0
14.0	3.0	96.0
15.0	3.0	94.0
16.0	3.0	92.0
17.0	3.0	90.0
18.0	3.0	88.0
19.0	3.0	86.0
20.0	3.0	84.0
21.0	3.0	82.0
22.0	3.0	80.0
23.0	3.0	78.0
24.0	3.0	76.0
25.0	3.0	74.0
26.0	3.0	72.0
27.0	3.0	60.0
28.0	3.0	68.0
29.0	3.0	66.0
30.0	3.0	64.0
31.0	3.0	62.0
32.0	3.0	60.0
33.0	3.0	58.0
34.0	3.0	56.0
35.0	3.0	54.0
36.0	3.0	52.0
37.0	3.0	50.0
38.0	3.0	48.0
39.0	3.0	34.0
40.0	3.0	44.0
41.0	3.0	42.0
42.0	3.0	40.0
43.0	3.0	38.0
44.0	3.0	36.0
45.0	3.0	34.0
46.0	3.0	32.0
47.0	3.0	30.0
48.0	3.0	28.0
49.0	3.0	0.0
50.0	3.0	0.0

1.0	4.0	130.0
2.0	4.0	128.0
3.0	4.0	126.0
4.0	4.0	124.0
5.0	4.0	122.0
6.0	4.0	120.0
7.0	4.0	118.0
8.0	4.0	116.0
9.0	4.0	114.0
10.0	4.0	112.0
11.0	4.0	110.0
12.0	4.0	108.0
13.0	4.0	94.0
14.0	4.0	104.0
15.0	4.0	102.0
16.0	4.0	100.0
17.0	4.0	98.0
18.0	4.0	86.0
19.0	4.0	94.0
20.0	4.0	92.0
21.0	4.0	90.0
22.0	4.0	88.0
23.0	4.0	86.0
24.0	4.0	84.0
25.0	4.0	82.0
26.0	4.0	80.0
27.0	4.0	78.0
28.0	4.0	76.0
29.0	4.0	74.0
30.0	4.0	72.0
31.0	4.0	70.0
32.0	4.0	68.0
33.0	4.0	66.0
34.0	4.0	64.0
35.0	4.0	62.0
36.0	4.0	60.0
37.0	4.0	58.0
38.0	4.0	56.0
39.0	4.0	54.0
40.0	4.0	52.0
41.0	4.0	50.0
42.0	4.0	48.0
43.0	4.0	46.0
44.0	4.0	44.0
45.0	4.0	30.0
46.0	4.0	40.0
47.0	4.0	38.0
48.0	4.0	0.0
49.0	4.0	0.0
50.0	4.0	0.0

1.0	5.0	138.0
2.0	5.0	136.0
3.0	5.0	134.0
4.0	5.0	132.0
5.0	5.0	130.0
6.0	5.0	128.0
7.0	5.0	126.0
8.0	5.0	124.0
9.0	5.0	110.0
10.0	5.0	120.0
11.0	5.0	118.0
12.0	5.0	116.0
13.0	5.0	114.0
14.0	5.0	112.0
15.0	5.0	110.0
16.0	5.0	108.0
17.0	5.0	106.0
18.0	5.0	104.0
19.0	5.0	102.0
20.0	5.0	90.0
21.0	5.0	98.0
22.0	5.0	96.0
23.0	5.0	94.0
24.0	5.0	92.0
25.0	5.0	90.0
26.0	5.0	88.0
27.0	5.0	86.0
28.0	5.0	84.0
29.0	5.0	82.0
30.0	5.0	80.0
31.0	5.0	78.0
32.0	5.0	76.0
